api_member_id,api_date,api_type,api_kind,api_relation,api_detail,api_current_valuation,api_origin_valuation,api_increased_amount,api_decreased_amount,api_reason_change
YOG1280B,202403,증권,국채,본인,국고01375-2409(19-5) 0주,2938034,0,2938034,0,자금운용 및 가액변동
CFE3998F,202203, 건물,아파트,본인,"서울특별시 서초구 반포동 반포아파트 건물 2,744.00㎡중 107.47㎡",2936000,2798000,138000,0,가액변동
TZP9391O,201608,건물,근린생활시설,배우자,서울특별시 강동구 성내동 대지 412.60㎡ 건물 869.04㎡,2931886,,,,
TZP9391O,201703,건물,근린생활시설,배우자,서울특별시 강동구 성내동 대지 412.60㎡ 건물 869.04㎡,2931886,2931886,0,0,
AJV31724,201603,토지,대지,본인,"인천광역시 서구 왕길동 664-1번지 1,078.90㎡",2928134,2886057,42077,0,가액변동
PZA4062H,202103,건물,아파트,본인,서울특별시 강남구 대치동  선경아파트 건물 163.92㎡,2920000,2920000,0,0,
PZA4062H,202008,건물,아파트,본인,서울특별시 강남구 대치동  선경아파트 건물 163.92㎡,2920000,,,,
N4R2421C,202303,건물,아파트,본인,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙 건물203.12㎡ 중 101.56㎡,2916500,2665000,251500,0,공시가격 변동
N4R2421C,202303,건물,아파트,배우자,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙 건물203.12㎡ 중 101.56㎡,2916500,2665000,251500,0,공시가격 변동
TO79481Z,201703,예금,,본인,"하나생명보험 25,000, 삼성생명보험 77,950(3,308 증가), 신한은행 1,248,042(427,846 감소), 우리은행 48,015(627
감소), 농협은행 5,363(21,494 감소), AIA생명보험 35,000(14,000 증가), 신한금융투자(주) 257,409(257,409
증가), 국민은행 142,154(848 증가), (주)KEB하나은행 135,846(57 증가), 농협중앙회 150,013(150,013 증가),
영주영남신협 10,048(10,048 증가), 한국투자증권
723,506(25,203 증가), 교보생명보험 48,054",2906400,2895481,2023190,2012271,"본인과 배우자의 봉급 및 주식매각금액 저축, 국채 추가 신고, 수익증권 평가액 변동, 예금이자, 월임대소득, 가계지출 등으로 인한 변동"
TBB59984,201603,예금,,본인,"BNP파리바카디프생명보험 90,000(60,000 증가), 대우증권 8, 현대캐피탈 0(22,760 감소), 신한은행 2,621,611(741,384
증가), 삼성생명보험 61,743(5,330 증가), 삼성증권 8, NH투자증권 30, 농협은행 32,060(12,025 감소), 한화투자증권 23, 메트라이프생명보험 100,912(35,616 증가)",2906395,2098850,1735307,927762,"전세 만료 보증금 반환(월세로 이동), 연 급여, 예금 이자 등"
MGE7194M,202003,채무,금융기관채무,배우자,"우리은행 2,900,000(200,000 감소)",2900000,3100000,,200000,예금등으로 일부상환
TO79481Z,201608,예금,,본인,"하나생명보험 25,000, 삼성생명보험 74,642, 신한은행 1,675,888,
우리은행 48,642, 농협은행 26,857, AIA생명보험 21,000, 국민은행 141,306, 한국투자증권 698,303, 하나은행 135,789, 교보생명보험
48,054",2895481,,,,
QKY38290,201603,예금,,본인,"대우증권 569,579(45,318 감소), 삼성생명보험 101,208,
삼성증권 2,173,963(52,535 증가), 농협은행 14,233(9,238
감소), 하나은행 21,040(8,151 증가), 남해신협 113(1 증가), 서울변호사신용협동조합 151(4 증가)",2880287,2874152,1789669,1783534,"사인간 채권 일부 회수 및 신규펀드 계약, 예금계좌간 이체, 평가액 변동"
2WQ6656P,201803,건물,상가,본인,"부산광역시 동래구 칠산동 대지 1,916.00㎡ 중 958.00㎡ 건물
1,271.06㎡ 중 635.50㎡",2874860,2690087,184773,0,가액변동
TST4507I,202303,예금,,본인,"농협생명보험 173,300(3,600 증가), 농협은행 361,358(215,502 증가), 신한금융투자(주)1,390,995(3,493 감소), 하나손해보험(주) 47,500(6,000증가), 현대해상화재보험 896,314(1,653 증가)",2869467,2646205,226755,3493,"증액분: 채권환수, 국회의원 세비 및 배우자 급여 저축, 계좌간 이체 등 감소분: 생활비, 계좌간 이체 및 계좌 해지 등"
PZA4062H,202403,건물,아파트,본인,서울특별시 강남구 대치동 선경아파트 건물 163.92㎡,2869000,3561000,0,692000,시세변동
PZA4062H,202408,건물,아파트,본인,서울특별시 강남구 대치동 선경아파트 건물 163.92㎡,2869000,,,,
FGX4881A,201803,건물,사무실,본인,서울특별시 중구 수표동 대지 253.20㎡ 건물 152.06㎡,2868756,2785200,83556,0,가액변동
2WQ6656P,201803,건물,창고,본인,"부산광역시 동래구 수안동 대지 1,563.00㎡ 중 2,080.00㎡
건물 760.00㎡중 760.00㎡",2863600,2852680,10920,0,가액변동
2WQ6656P,201703,건물,창고,본인,"부산광역시 동래구 수안동 대지 1,563.00㎡ 중 2,080.00㎡
건물 760.00㎡중 760.00㎡",2852680,2595920,256760,0,가액변동
LG63087O,202008,채권,-,본인,사인간채권,2850000,,,,
1ZF7922T,201603,건물,상가,배우자,"서울특별시 용산구 이촌1동 대지 304.50㎡ 건물 285.14㎡
(건물 125.57㎡증가)",2847806,2871520,0,23714,가액변동
EJS5449A,201603,건물,빌딩,배우자,"서울특별시 중구 신당동 대지 536.00㎡ 건물 2,168.00㎡",2843853,2846688,0,2835,가액변동
GFF1986K,202203, 예금,,배우자,"(주)KEB하나은행 114,539(5,479 증가), BNP파리바카디 프생명보험 20,000(6,000 증가), DB생명보험(주) 63,000(12,000 증가), 경남은행 5,000, 교보생명보험56,301(5,522 증가), 국민은행 24,579(4,974 감소), 미래에셋생명보험 42,000, 삼성생명보험 23,391(974 증 가), 삼성화재해상보험 2,336(1,176 증가), 신한금융투 자(주) 1,692,237(496,727 증가), 신한라이프(신한생 명) 12,400(1,000 증가), 신한라이프(오렌지라이프) 95,000(6,000 증가), 신한은행 342,080(76,159 증가),한국투자증권 267,219(10,738 감소), 한화생명보험주식 회사 27,663, 흥국생명보험 50,016",2837761,2242436,2136388,1541063,금융상품 투자로 인한 변동
FRN1867O,202103,증권,비상장주식,배우자,"(주)예인건축연구소 0주(10,000주 감소), 주식회사 예인건축연구소 10,000주(10,000주 증가)",2832130,50000,2832130,50000,법개정에 의한 변동신고
N4R2421C,202103,건물,아파트,차남,서울특별시 송파구 잠실동  아시아선수촌아파트 건물178.32㎡ 중 178.32㎡ (건물 지분면적133.74㎡ 증가),2832000,558000,2274000,0,가액변동 및 지분증가
MSY7784L,201703,예금,,배우자,"(주)KEB하나은행 153, 미래에셋대우(주) 0(1 감소), 국민은행
21,514(1,975 증가), 신한은행 24,516(14,277 증가), SK증권
2,344,358(635,332 감소), 삼성생명보험 65,628,
중소기업은행 76,757(76,757 증가), NH투자증권 6,208(63
증가), 우리은행 0(80,651 감소), 중국건설은행대동지행 288,848(74,506 증가), 부산은행 25",2828007,3376413,1723916,2272322,
KBK8836C,202408,건물,아파트,본인,서울특별시 서초구 잠원동 반포센트럴자이 건물 98.87㎡,2822000,,,,
CFE3998F,202103,건물,아파트,본인,"서울특별시 서초구 반포동  반포아파트 건물 2,744.00㎡ 중 107.47㎡",2798000,2798000,0,0,변동없음
YOG1280B,201603,예금,,배우자,"삼성생명보험 24,141, 삼성증권 12, 씨티은행 0(100 감소),
우리은행 33,843(20,344 증가), 한국산업은행 2,727,566(45,266 증가), 대우증권 5,478(46,650 감소),
신한생명보험 400(400 증가)",2791440,2772180,1893301,1874041,
FGX4881A,201603,건물,사무실,본인,"서울특별시 중구 수표동 대지 253.20㎡ 건물 0.00㎡ (건물
152.06㎡ 감소)",2785200,2914247,0,129047,가액변동
FGX4881A,201603,건물,사무실,본인,"서울특별시 중구 수표동 대지 253.20㎡ 건물 0.00㎡ (건물
152.06㎡ 감소)",2785200,2914247,0,129047,가액변동
9CR4440H,201603,건물,상가,본인,"부산광역시 동래구 사직동 대지 352.50㎡ 건물 1,720.56㎡
(건물 36.00㎡증가)",2781566,2797983,0,16417,가액변동
4019850M,202003,예금,,배우자,"(주)KEB하나은행 331,031(4,539 증가), DB손해보험(주) 30,000, 교보생명보험 20,159(3,712 증가), 신한은행
 2,396,275(969,880 증가)",2777465,1799334,2270329,1292198,
17M85910,202303,건물,아파트,본인,서울특별시 송파구 잠실동 아시아선수촌 건물 134.48㎡,2768000,2388000,380000,0,가액변동
2N793392,202103,예금,,본인,"DB손해보험(주) 7,600(7,600 증가), 농협은행 17,320(17,281 증가), 농협중앙회 6(19,626 감소), 미래에셋대우(주) 1,807,599(1,011,571 증가), 삼성생명 보험 40,413(1,750 증가), 삼성화재해상보험 14,898, 스탠다드차타드은행 748,598(693,764 증가), 신한은행 42,276(24,066 증가), 씨티은행 43, 오렌지라이프생명 보험 주식회사 52,749(189 증가), 우리은행 45(1 증 가), 한국산업은행 658(2 증가), 한국카카오은행(주)11,497(2,513 증가), 한화생명보험주식회사 6,005",2749707,1010596,1758737,19626,부동산(사무실) 매도 및 증권 매각 으로 인한 예금 증가
C8L89785,201603,토지,공장용지,본인,"경기도 화성시 정남면 문학리 719-3번지 8,004.00㎡",2734966,2689344,45622,0,가액변동
N4R2421C,202303,토지,대지,본인,서울특별시 송파구 잠실동 196-17번지 273.70㎡ 중191.60㎡,2720720,2509960,210760,0,공시가격 변동
4019850M,202003,채권,,본인,사인간채권 증가,2715557,2458387,257170,,추가  대여
N4R2421C,201603,채권,,배우자,사인간채권 감소,2710358,3405358,100000,795000,"일부회수, 추가대여"
BLC8630L,201903,건물,아파트,본인,서울특별시 서초구 반포동 반포아파트 건물 196.80㎡,2704000,2240000,464000,0,가액변동
2WQ6656P,201703,건물,상가,본인,"부산광역시 동래구 칠산동 대지 1,916.00㎡ 중 958.00㎡ 건물
1,271.06㎡ 중 635.50㎡",2690087,2528691,161396,0,가액변동
TO79481Z,201903,예금,,본인,"하나생명보험 0(25,000 감소), 삼성생명보험 89,288(5,670 증가), 신한은행 641,800(19,271 증가), 우리은행 47,757(1,781 증가), 농협은행 561(2,136 감소), 신한금융투자(주) 745,330(4,929 증가), AIA생명보험 82,000(23,000 증가), 국민은행 145,154 (1,500 증가), (주)KEB하나은행 24,858(81,594 감소), 농협중앙회 13, 영주영남신협 10,099(25 증가), 한국투자증권 852,979 (142,776 증가), 교보생명보험 48,054",2687893,2597671,816906,726684,
2WQ6656P,201703,토지,대지,본인,부산광역시 동래구 수안동 1085번지 952.00㎡ (952.00㎡ 증가),2680000,,2680000,0,신규취득
2WQ6656P,201803,토지,대지,본인,부산광역시 동래구 수안동 108-5번지 952.00㎡,2680000,2680000,0,0,가액변동없음
2WQ6656P,201903,토지,대지,본인,부산광역시 동래구 수안동 108-5번지 952.00㎡,2680000,2680000,0,0,가액변동없음
2WQ6656P,202003,토지,대지,본인,부산광역시 동래구 수안동 108-5번지 952.00㎡,2680000,2680000,,,가액변동 없음
DWK26447,202303,예금,,배우자,"AIA생명보험주식회사 54,493(1,101 감소), 농협중앙회 0(3 감소), 대구은행 618,051(474,323 증가),미래에셋생명보험 67,896, 삼성생명보험 10,830(425 증가), 삼성증권 484,757(111,786 증가),신용협동조합중앙회 42,909(30,002 증가), 씨티은행 63,060(537,602 감소), 에이비엘생명보험 60,000, 유진투자증권 77,073(9,261 감소), 한화생명보험주식회사 0(170,000 감소), 한화투자증권 30(30 증가), 현대해상화재보험 17,513(1,393 증가), 흥국생명보험875,000, 흥국화재해상보험(주) 300,000",2671612,2771620,847027,947035,급여 저축 및 생활비 지출
2N793392,202203, 예금,,본인,"DB손해보험(주) 8,800(1,200 증가), 농협은행 8,041(9,279 감소), 농협중앙회 6, 미래에셋대우(주)1,826,031(18,432 증가), 삼성생명보험 43,413(3,000증가), 삼성화재해상보험 14,898, 스탠다드차타드은행 667,807(80,791 감소), 신한라이프(오렌지라이프)53,033(284 증가), 신한은행 35,729(6,547 감소), 씨티은행 43, 우리은행 45, 한국산업은행 661(3 증가), 한국카카오은행(주) 2,707(8,790 감소), 한화생명보험주 식회사 6,005",2667219,2749707,22920,105408,급여 및 저축
N4R2421C,202203, 건물,아파트,배우자,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙건물 203.12㎡ 중 101.56㎡,2665000,2600000,65000,0,공동주택공시가격 상승
N4R2421C,202203, 건물,아파트,본인,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙건물 203.12㎡ 중 101.56㎡,2665000,2600000,65000,0,공동주택공시가격 상승
TO79481Z,202003,예금,,본인,"(주)KEB하나은행 60,378(35,520 증가), AIA생명보험주식회 사 107,000(25,000 증가), 교보생명보험 48,054, 국민은행
 145,974(820 증가), 농협은행 3,356(2,795 증가), 농협중
 앙회 13, 삼성생명보험 94,957(5,669 증가), 신용협동조합 중앙회 10,126(27 증가), 신한금융투자(주) 858,618(113,288 증가), 신한은행 573,426(68,374 감소),
 우리은행 13(47,744 감소), 한국투자증권 755,547(97,432
 감소)",2657462,2687893,722498,752929,"급여 저축, 수익증권 평가액 변동, 이자증가, 증여, 월임대소득수입, 토지매입, 분양권매입, 가계지출 등 으로 인한 변동"
MGE7194M,201903,채권,,배우자,사인간채권,2650000,2650000,0,0,변동없음
CT85313K,202408,채권,,본인,사인간채권,2650000,,,,
MGE7194M,201803,채권,,배우자,사인간채권 증가,2650000,2550000,100000,0,금액 수정
CT85313K,202403,채권,,본인,사인간채권,2650000,2650000,0,0,변동없음
CT85313K,202303,채권,,본인,사인간채권,2650000,2650000,0,0,
CT85313K,202203, 채권,,본인,사인간채권,2650000,2650000,0,0,
2WQ6656P,201603,건물,단독주택,본인,"부산광역시 동래구 수안동 대지 1,954.00㎡중 2,868.00㎡
건물 389.55㎡중 389.55㎡",2650000,2450000,200000,0,가액변동
CT85313K,202008,채권,-,본인,사인간채권,2650000,,,,
CT85313K,202103,채권,,본인,사인간채권,2650000,2650000,0,0,
TST4507I,202203, 예금,,본인,"농협생명보험 169,700(3,600 증가), 농협은행 145,856(244,944 감소), 신한금융투자(주)1,394,488(379,660 증가), 하나손해보험(주)41,500(6,000 증가), 현대해상화재보험 894,661(1,677증가)",2646205,2500212,390937,244944,증액분: 근로소득 저축 및 투자수익 발생감액분: 생활비 및 계좌간 이전
NUB4941Z,202303,건물,아파트,본인,서울특별시 강남구 대치동 한보미도맨션2 건물 126.33㎡,2636000,2233000,403000,0,공시가격 반영
N4R2421C,202403,건물,아파트,본인,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙 건물 203.12㎡ 중 101.56㎡,2626500,2916500,0,290000,공시가격 변동
N4R2421C,202403,건물,아파트,배우자,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙 건물203.12㎡ 중 101.56㎡,2626500,2916500,0,290000,공시가격 변동
N4R2421C,201703,예금,,본인,"우리은행 93,387(3,486 감소), 메리츠화재해상보험(보험)
167,485, 외환은행 0(1 감소), 우체국 1,034,823(1,006,425
증가), 신용협동조합중앙회 531,703(500,771 증가), 새마을금고 591(12 증가), 삼성증권 1,961(464 증가), 한화손해보험 106,000(12,000 증가), 아이비케이투자증권(주) 0(2 감소), AIA생명보험 225,007,
농협은행 15,008(13,854 증가), 씨티은행 117,516(3,052 증가), (주)KEB하나은행 231,282(1,872,361 감소),
동양생명보험 1,074, 농협중앙회 78,691(118,076 감소),
동부화재해상보험 0(10 감소)",2604528,3061886,1559052,2016410,채권환수 등
MGE7194M,202003,채권,,배우자,사인간채권 감소,2600000,2650000,,50000,일부회수
N4R2421C,202103,건물,아파트,본인,서울특별시 강남구 삼성동  아이파크 삼성동 웨스트윙건물 203.12㎡ 중 101.56㎡,2600000,2008000,592000,0,가액변동
LCJ77278,202003,건물,"아파트
 (전세(임차)권)",배우자,서울특별시 서초구 반포동 래미안퍼스티지 건물 270.00㎡,2600000,2200000,400000,,전세보증금 증가
N4R2421C,202103,건물,아파트,배우자,서울특별시 강남구 삼성동  아이파크 삼성동 웨스트윙건물 203.12㎡ 중 101.56㎡,2600000,2008000,592000,0,가액변동
TO79481Z,201803,예금,,본인,"하나생명보험 25,000, 삼성생명보험 83,618(5,668 증가),신한은행 622,529(625,513 감소), 우리은행 45,976(2,039감소), 농협은행 2,697(2,666 감소), 신한금융투자(주) 740,401(482,992 증가), AIA생명보험주식회사 59,000(24,000증가), 국민은행 143,654(1,500 증가), (주)KEB하나은행 106,452(29,394 감소), 농협중앙회 13(150,000감소), 영주영남신협 10,074(26 증가), 한국투자증권 710,203(13,303 감소), 교보생명보험 48,054",2597671,2906400,1122552,1431281,
2WQ6656P,201603,건물,창고,본인,"부산광역시 동래구 수안동 대지 1,563.00㎡ 중 2,080.00㎡
건물 760.00㎡중 760.00㎡",2595920,2605040,0,9120,가액변동
N4R2421C,202303,토지,대지,본인,서울특별시 송파구 잠실동 196-10번지 182.70㎡,2594340,2393370,200970,0,공시가격 변동
8UC4779G,202408,증권,비상장주식,본인,"주식회사 동황 165,000주",2592810,,,,
7YC6702R,202408,예금,,배우자,"(주)비엔케이저축은행 40,103, KB증권 105, NH투자증권 259, OSB저축은행49,079, SBI저축은행 50,010, 국민은행 6,000, 삼성증권 10,상호저축은행중앙회 1,528,100, 신한라이프생명보험 722,900, 신한은행 1,애큐온저축은행 50,262, 엔에이치저축은행(주) 49,000, 웰컴저축은행 45,000,푸른상호저축은행 46,500",2587329,,,,
E5N8503B,201608,예금,,본인,"우리은행 234,188, 삼성생명보험 65,000, 신한은행 482,442, NH투자증권
320,560, AIA생명보험 644,600, 신한생명보험 52,000, 국민은행
186,455, 동양생명보험 100,000, 한화생명보험주식회사 200,000, 하나은행 300,285",2585530,,,,
4019850M,201703,예금,,본인,"푸르덴셜생명보험 163,200(4,480 증가), 농협생명보험5,200(5,200 증가), 우리 5,000(5,000 증가), 신한은행1,930,319(298,904 증가), 중소기업은행 300(300 증가),우리은행 74(74 증가), 삼성증권 1(1 증가), 농협은행 16,163(16,163 증가), 신한금융투자(주) 145(145 증가),(주)KB손해보험 8,773(8,773 증가), (주)KEB하나은행 26,978(10,953 증가), 농협손해보험 1,260(490 증가),국민은행 3(3 증가), 농협중앙회 11,066(11,066 증가), 케이디비생명보험 0(6,600 감소), 동부화재해상보험 30,000,삼성화재해상보험 17,845(155 감소), ING(네덜란드)생명보험 360,000(240,000 증가)",2576327,1981530,834011,239214,2016년 건물 임대수입으로 인한 예금증가 및 금융기관 정보 신규추가
4019850M,202403,예금,,배우자,"(주)KEB하나은행 12,056(215 증가), DB손해보험(주) 30,000, 교보생명보험 36,799(4,423 증가), 신한은행2,490,582(274,074 증가)",2569437,2290725,1089750,811038,"임대수입,배당수입,급여수입,주식양 도 등으로 예금이 증가하고 대출금 일부 상환, 기부금, 국세납부 등으로 예금이 감소되었음"
MU69217P,202303,건물,아파트,본인,서울특별시 서초구 반포동 반포써밋 건물 106.52㎡,2555000,2164000,391000,0,가액변동
N4R2421C,202403,토지,대지,본인,서울특별시 송파구 잠실동 196-17번지 273.70㎡ 중 191.60㎡,2550196,2720720,0,170524,공시가격 변동
MGE7194M,201703,채권,,배우자,사인간채권 감소,2550000,3000000,50000,500000,채권일부 회수 및 신규추가
LG63087O,202103,채권,,본인,사인간채권 감소,2550000,2850000,0,300000,전세보증금 차액
LG63087O,202203, 채권,,본인,사인간채권,2550000,2550000,0,0,변동 없음
N4R2421C,202403,증권,비상장주식,배우자,"원하건설 42,948주(42,948주 증가), 이준종합건설 3,933주(3,933주 증가), 혜영건설 25,200주(25,200주증가)",2549613,0,2549613,0,비상장 주식의 백지신탁 해지 후 재신고 등
MSY7784L,202403,증권,상장주식,배우자,"LG에너지솔루션 903주(370주 증가), SK바이오사이언스 53주, SK아이이테크놀로지 45주, SK이노베이션 0주(497주 감소), 고려아연 0주(219주 감소), 대우증권보통주 312주, 대한항공 0주(777주 감소), 삼성전기 0주(1,879주 감소), 삼성전자 27,406주, 현대모비스 0주(457주 감소), 현대차 0주(586주 감소)",2547148,2399057,791379,643288,평가액 반영
DWK26447,202403,예금,,배우자,"AIA생명보험주식회사 55,444(951 증가), 국민은행 100,000(100,000 증가), 대구은행 226,093(391,958감소), 미래에셋생명보험 67,896, 삼성생명보험 10,830, 삼성증권 631,523(146,766 증가), 신용협동조합중앙회 40,696(2,213 감소), 씨티은행 64,716(1,656 증가),에이비엘생명보험 60,000, 유진투자증권 90,373(13,300 증가), 한화투자증권 31(1 증가), 현대해상화재보험 19,901(2,388 증가), 흥국생명보험 875,000,흥국화재해상보험(주) 300,000",2542503,2671612,513597,642706,급여 저축 및 생활비 지출
V429892C,202303,예금,,배우자,"(주)KEB하나은행 8,142(22,865 감소), DB금융투자 40,195(2,577 증가), DB손해보험(주) 25,937(3,209증가), KB라이프생명보험(KB생명보험) 120,080, KB증권 1, 국민은행 1,704,749(730,010 증가), 농협손해보험13,800(1,200 증가), 농협중앙회 32,920(8,955 증가),미래에셋증권 90,644(90,644 증가), 새마을금고중앙회 0(53,482 감소), 신용협동조합중앙회 448,527(4 증가), 신한라이프생명보험 19,020(317 증가), 우체국 1,628(23,699 감소), 중소기업은행 51, 케이디비생명보험34,500(3,600 증가), 키움증권 1,001(1,001 증가),한국투자증권 1, 한화투자증권 517(4 증가)",2541713,1800238,1745438,1003963,"전세보증금 , 급여 저축, 신규 계좌 증가, 계좌 해약, 생활비 지출"
DCN7433W,201603,토지,임야,배우자,"경상북도 포항시 북구 장성동 산 232번지 64,790.00㎡",2539768,2196381,343387,0,가액변동
2WQ6656P,201603,건물,상가,본인,"부산광역시 동래구 칠산동 대지 1,916.00㎡ 중 958.00㎡ 건물
1,271.06㎡ 중 635.50㎡",2528691,2219442,309249,0,가액변동
MQU41854,202303,건물,근린생활시설,배우자,서울특별시 용산구 원효로3가 대지 180.20㎡ 건물360.24㎡,2519199,2157177,362022,0,가액변동
7XY7109I,201608,예금,,본인,"중소기업은행 315,227, (주)KB손해보험 3,300, 하나대투증권 2,200,168",2518695,,,,
SSF6805Q,202003,채무,금융기관채무,본인,"JB우리캐피탈 17,792(10,248 감소), 농협은행 200,000(1,600,000 감소), 농협중앙회
 2,300,000(2,300,000 증가)",2517792,1828040,2300000,1610248,대환대출 등
HS39431V,202408,예금,,배우자,"(주)KEB하나은행 84, DB손해보험(주) 7,684, 교보생명보험 100,000, 국민은행282,949, 농협은행 4, 대신증권 772, 삼성생명보험 40,000, 삼성증권 77,신한은행 2,085,913",2517483,,,,
2N793392,202408,예금,,본인,"DB손해보험(주) 11,700(500 증가), 농협은행 1,149(11,965 감소), 농협중앙회 6, 미래에셋증권
1,882,944(29,669 증가), 삼성생명보험 50,663(1,250
증가), 삼성화재해상보험 14,898, 스탠다드차타드은행 146,934(344,480 감소), 신한라이프생명보험 51,622(170
증가), 신한은행 19,290(2,747 감소), 씨티은행 45,
우리은행 47, 주식회사 카카오뱅크 2,047(859 감소),
한국산업은행 661, 한화생명보험주식회사 6,005",2516473,,,,
2N793392,202403,예금,,본인,"DB손해보험(주) 11,200(1,200 증가), 농협은행 13,114(11,281 증가), 농협중앙회 6, 미래에셋증권1,853,275(67,145 증가), 삼성생명보험 49,413(3,000증가), 삼성화재해상보험 14,898, 스탠다드차타드은행 491,414(55,662 감소), 신한라이프생명보험 51,452(1,733감소), 신한은행 22,037(6,826 감소), 씨티은행 45(1 증가), 우리은행 47(1 증가), 주식회사 카카오뱅크 2,906(1,908 증가), 한국산업은행 661,한화생명보험주식회사 6,005",2516473,2496158,582120,561805,급여 저축 및 생활비 지출
2QE48823,201603,건물,빌딩,본인,"서울특별시 동대문구 이문동 대지 457.00㎡ 건물 1,100.55㎡",2511473,2528442,0,16969,가액 감소
N4R2421C,202203, 토지,대지,본인,서울특별시 송파구 잠실동 196-17번지 273.70㎡ 중 191.60㎡,2509960,2327940,182020,0,공시지가 일괄반영
TST4507I,202103,예금,,본인,"농협생명보험 166,100(3,600 증가), 농협은행 390,800(23,390 증가), 더케이손해보험(주)35,500(6,000 증가), 신한금융투자(주)1,014,828(147,112 증가), 현대해상화재보험892,984(1,684 증가)",2500212,2318426,181790,4,급여 저축 및 펀드투자로 증가
NQR1206Q,202103,건물,아파트(전세(임차)권),배우자,서울특별시 강남구 도곡동  로덴하우스 웨스트빌리지건물 244.66㎡,2500000,2300000,200000,0,전세금 증액
NQR1206Q,202303,건물,아파트(전세(임차)권),배우자,서울특별시 강남구 도곡동 로덴하우스 웨스트빌리지 건물244.66㎡,2500000,2500000,0,0,변동없음
NQR1206Q,202103,건물,아파트(전세(임차)권),배우자,서울특별시 강남구 도곡동  로덴하우스 웨스트빌리지건물 244.66㎡,2500000,2300000,200000,0,전세금 증액
2N793392,202303,예금,,본인,"DB손해보험(주) 10,000(1,200 증가), 농협은행 1,833(6,208 감소), 농협중앙회 6, 미래에셋증권1,786,130(39,901 감소), 삼성생명보험 46,413(3,000증가), 삼성화재해상보험 14,898, 스탠다드차타드은행 547,076(120,731 감소), 신한라이프(오렌지라이프)0(53,033 감소), 신한라이프생명보험 53,185(53,185증가), 신한은행 28,863(6,866 감소), 씨티은행 44(1 증가), 우리은행 46(1 증가), 주식회사 카카오뱅크 998(1,709 감소), 한국산업은행 661,한화생명보험주식회사 6,005",2496158,2667219,560903,731964,급여 및 저축(생활비 지출)
V429892C,202403,예금,,배우자,"(주)KEB하나은행 19,380(11,238 증가), DB금융투자 48,259(8,064 증가), DB손해보험(주) 25,570(367 감소),KB라이프생명보험(KB생명보험) 100,080(20,000 감소),KB증권 1, NH투자증권 8(8 증가), 국민은행333,336(1,371,413 감소), 농협손해보험 15,000(1,200증가), 농협중앙회 101,939(69,019 증가), 미래에셋증권 320,826(230,182 증가), 새마을금고중앙회188,000(188,000 증가), 신용협동조합중앙회458,329(9,802 증가), 신한라이프생명보험 19,020,우체국 3,307(1,679 증가), 중소기업은행 51, 케이디비생명보험 36,000(1,500 증가), 키움증권 256,371(255,370 증가), 한국투자증권 568,253(568,252증가), 한화투자증권 522(5 증가)",2494252,2541713,2149355,2196816,"임대보증금, 급여 저축, 생활비 지출"
E5N8503B,201703,예금,,본인,"우리은행 262,963(28,775 증가), 삼성생명보험 72,000(7,000
증가), 신한은행 493,444(11,002 증가), NH투자증권 473,754(153,194 증가), AIA생명보험 644,600, 신한생명보험
52,000, 국민은행 193,435(6,980 증가), (주)KEB하나은행
0(300,285 감소), 동양생명보험 100,000,
한화생명보험주식회사 200,000",2492196,2585530,1673623,1766957,급여 저축 및 주식매도자금 등
CAA7713A,202008,예금,,본인,"(주)KB손해보험 14,583, DB손해보험(주) 148,133, 교보생명보험 90,512,국민은행 108, 메트라이프생명보험 184,957, 부산은행 115,228, 삼성생명보험 619,621, 삼성증권 5,621, 삼성화재해상보험 322, 새마을금고78,419, 새마을금고중앙회 공제사업부 8,536, 신한생명보험 46,200, 신한은행 540,907, 케이디비생명보험 56,217, 현대라이프생명보험 240,000, 현대해상화재보험 333,400",2482764,,,,"오피스텔 계약금,중도금이 포함된 상태입니 다."
14M56632,202303,건물,공장,배우자,"경상남도 창원시 의창구 팔용동 대지 2,532.70㎡ 건물1,979.08㎡",2471737,2396262,75475,0,가액변동
2WQ6656P,201803,토지,전,본인,"부산광역시 해운대구광역시 반송동 745-1번지 12,629.00㎡",2462655,2336365,126290,0,가액변동
TST4507I,202403,예금,,본인,"농협생명보험 176,000(2,700 증가), 농협은행 225,700(135,658 감소), 신한금융투자(주)1,105,283(285,712 감소), 하나손해보험(주)53,500(6,000 증가), 현대해상화재보험 897,965(1,651증가)",2458448,2869467,13556,424575,급여 저축 및 생활비 지출 등
4019850M,201903,채권,,본인,사인간채권 증가,2458387,2384303,74084,0,추가 대여
